Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.25,-.09,-.17,-.10,-.21,-.18,-.11,-.15,-.24,-.22,-.18,-.17,***,***,-.12,-.17,-.20
1881,-.20,-.15,.03,.05,.05,-.19,.00,-.04,-.16,-.22,-.19,-.08,-.09,-.10,-.18,.04,-.08,-.19
1882,.16,.13,.04,-.16,-.14,-.22,-.17,-.08,-.15,-.24,-.17,-.36,-.11,-.09,.07,-.09,-.16,-.19
1883,-.30,-.37,-.13,-.19,-.18,-.08,-.08,-.14,-.23,-.12,-.24,-.11,-.18,-.20,-.34,-.17,-.10,-.20
1884,-.13,-.09,-.37,-.40,-.34,-.35,-.31,-.28,-.28,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.32,-.29
1885,-.59,-.34,-.27,-.42,-.45,-.44,-.34,-.32,-.29,-.24,-.24,-.11,-.34,-.35,-.41,-.38,-.36,-.25
1886,-.44,-.51,-.43,-.28,-.24,-.35,-.18,-.31,-.24,-.28,-.28,-.26,-.32,-.30,-.35,-.32,-.28,-.27
1887,-.72,-.57,-.36,-.35,-.31,-.25,-.26,-.36,-.26,-.36,-.27,-.33,-.37,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.11,-.16,-.12,.01,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.03
1889,-.09,.16,.06,.10,-.01,-.10,-.08,-.20,-.24,-.25,-.33,-.29,-.11,-.09,.01,.05,-.13,-.28
1890,-.42,-.45,-.40,-.30,-.39,-.25,-.28,-.39,-.37,-.25,-.43,-.31,-.35,-.35,-.39,-.36,-.30,-.35
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.22,-.31,-.04,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.17,-.14,-.42,-.38,-.27,-.25,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.33,-.25,-.14,-.25,-.22,-.19,-.19,-.34,-.32,-.32,-.59,-.27,-.21,-.20
1894,-.53,-.31,-.23,-.45,-.32,-.41,-.25,-.25,-.29,-.24,-.27,-.22,-.31,-.32,-.39,-.34,-.30,-.26
1895,-.43,-.43,-.34,-.22,-.28,-.21,-.18,-.18,-.12,-.10,-.17,-.14,-.23,-.24,-.36,-.28,-.19,-.13
1896,-.22,-.12,-.26,-.30,-.16,-.11,-.03,-.05,-.07,.06,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.20,-.11,-.09,-.12,-.06,-.08,-.13
1898,-.02,-.30,-.51,-.30,-.30,-.19,-.23,-.27,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.23,-.31
1899,-.17,-.39,-.37,-.21,-.24,-.32,-.17,-.08,-.05,-.04,.13,-.26,-.18,-.18,-.26,-.27,-.19,.01
1900,-.36,-.05,.01,-.08,-.09,-.09,-.13,-.09,-.05,.10,-.06,-.06,-.08,-.10,-.22,-.06,-.10,-.01
1901,-.21,-.11,.06,-.03,-.15,-.11,-.14,-.20,-.22,-.29,-.18,-.28,-.16,-.14,-.13,-.04,-.15,-.23
1902,-.18,-.06,-.27,-.28,-.32,-.30,-.28,-.30,-.29,-.29,-.35,-.41,-.28,-.27,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.40,-.39,-.42,-.35,-.45,-.49,-.48,-.43,-.51,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.64,-.58,-.48,-.50,-.52,-.48,-.51,-.49,-.56,-.39,-.17,-.33,-.47,-.49,-.57,-.50,-.50,-.37
1905,-.35,-.59,-.22,-.33,-.29,-.28,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.38,-.15,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.33,-.34,-.22,-.46,-.46,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.33,-.55,-.44,-.37,-.38,-.34,-.46,-.35,-.43,-.52,-.49,-.42,-.42,-.41,-.45,-.39,-.44
1909,-.72,-.46,-.54,-.58,-.54,-.52,-.45,-.33,-.39,-.39,-.32,-.56,-.48,-.48,-.55,-.55,-.43,-.37
1910,-.42,-.40,-.50,-.42,-.33,-.38,-.34,-.36,-.39,-.41,-.55,-.68,-.43,-.42,-.46,-.42,-.36,-.45
1911,-.63,-.58,-.62,-.54,-.51,-.50,-.41,-.44,-.41,-.27,-.21,-.22,-.45,-.48,-.63,-.56,-.45,-.30
1912,-.27,-.16,-.39,-.18,-.22,-.24,-.42,-.55,-.58,-.58,-.39,-.43,-.37,-.35,-.21,-.26,-.41,-.52
1913,-.40,-.44,-.42,-.39,-.43,-.45,-.36,-.33,-.34,-.32,-.19,-.02,-.34,-.38,-.42,-.42,-.38,-.29
1914,.05,-.09,-.23,-.29,-.21,-.25,-.23,-.15,-.16,-.03,-.15,-.03,-.15,-.15,-.02,-.25,-.21,-.11
1915,-.20,-.04,-.10,.07,-.06,-.22,-.13,-.22,-.20,-.24,-.13,-.22,-.14,-.13,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.34,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.39
1917,-.57,-.63,-.63,-.55,-.55,-.44,-.26,-.22,-.23,-.44,-.34,-.67,-.46,-.47,-.67,-.58,-.30,-.34
1918,-.47,-.34,-.24,-.44,-.43,-.36,-.32,-.32,-.17,-.06,-.11,-.29,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.26,-.22,-.27,-.26,-.47,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.18,-.23,-.30,-.30,-.27,-.14,-.26,-.19,-.03,-.14,-.18,-.19,-.21,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.30,-.27,-.33,-.36,-.33,-.15,-.19,-.28,-.28,-.31,-.23,-.30,-.28
1923,-.28,-.39,-.34,-.40,-.33,-.29,-.31,-.33,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.39,-.40,-.27,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.20,.03,.11,-.12,-.23,-.26,-.27,-.14,-.15,-.12,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.11
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.27,-.30,-.38,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.27,-.27,-.16
1929,-.45,-.58,-.33,-.41,-.38,-.44,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.22,-.19,-.08,-.03,-.04,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.03
1932,.16,-.17,-.17,-.05,-.17,-.28,-.24,-.22,-.10,-.08,-.27,-.26,-.16,-.14,-.02,-.13,-.25,-.15
